timestamp,message,logStreamName
1722843804213,"REPORT RequestId: b5513130-1ceb-4e7f-803b-82072bc02da2	Duration: 2.80 ms	Billed Duration: 3 ms	Memory Size: 3000 MB	Max Memory Used: 210 MB	
",2024/08/05/[$LATEST]3b0bbcf6d9b14fe0aeb53c720d1df6ea
1722843864267,"START RequestId: 94813379-e9a4-42fa-a29f-b04dcebc3e61 Version: $LATEST
",2024/08/05/[$LATEST]3b0bbcf6d9b14fe0aeb53c720d1df6ea
1722843864269,"END RequestId: 94813379-e9a4-42fa-a29f-b04dcebc3e61
",2024/08/05/[$LATEST]3b0bbcf6d9b14fe0aeb53c720d1df6ea
1722843864269,"REPORT RequestId: 94813379-e9a4-42fa-a29f-b04dcebc3e61	Duration: 2.66 ms	Billed Duration: 3 ms	Memory Size: 3000 MB	Max Memory Used: 210 MB	
",2024/08/05/[$LATEST]3b0bbcf6d9b14fe0aeb53c720d1df6ea
1722843924368,"START RequestId: eb56d819-8811-48e1-b33a-81dadeca83c8 Version: $LATEST
",2024/08/05/[$LATEST]3b0bbcf6d9b14fe0aeb53c720d1df6ea
1722843924371,"END RequestId: eb56d819-8811-48e1-b33a-81dadeca83c8
",2024/08/05/[$LATEST]3b0bbcf6d9b14fe0aeb53c720d1df6ea
1722843924371,"REPORT RequestId: eb56d819-8811-48e1-b33a-81dadeca83c8	Duration: 2.63 ms	Billed Duration: 3 ms	Memory Size: 3000 MB	Max Memory Used: 210 MB	
",2024/08/05/[$LATEST]3b0bbcf6d9b14fe0aeb53c720d1df6ea
1722843984174,"START RequestId: 92718f89-7e8a-40a4-b1cd-e9db9a0a6b45 Version: $LATEST
",2024/08/05/[$LATEST]3b0bbcf6d9b14fe0aeb53c720d1df6ea
1722843984177,"END RequestId: 92718f89-7e8a-40a4-b1cd-e9db9a0a6b45
",2024/08/05/[$LATEST]3b0bbcf6d9b14fe0aeb53c720d1df6ea
1722843984177,"REPORT RequestId: 92718f89-7e8a-40a4-b1cd-e9db9a0a6b45	Duration: 3.01 ms	Billed Duration: 4 ms	Memory Size: 3000 MB	Max Memory Used: 210 MB	
",2024/08/05/[$LATEST]3b0bbcf6d9b14fe0aeb53c720d1df6ea
1722844044214,"START RequestId: 29105f44-b0aa-4be4-9afc-63dd7dd8cee5 Version: $LATEST
",2024/08/05/[$LATEST]3b0bbcf6d9b14fe0aeb53c720d1df6ea
1722844044217,"END RequestId: 29105f44-b0aa-4be4-9afc-63dd7dd8cee5
",2024/08/05/[$LATEST]3b0bbcf6d9b14fe0aeb53c720d1df6ea
